year,month,precinct,offense_category,0
2021,April,08,LARCENY,88
2021,April,08,MISCELLANEOUS,2
2021,April,08,OBSTRUCTING JUDICIARY,9
2021,April,08,OBSTRUCTING THE POLICE,17
2021,April,08,OTHER,1
2021,April,08,OUIL,2
2021,April,08,ROBBERY,9
2021,April,08,RUNAWAY,3
2021,April,08,SEX OFFENSES,39
2021,April,08,SEXUAL ASSAULT,9
2021,April,08,STOLEN PROPERTY,15
2021,April,08,STOLEN VEHICLE,77
2021,April,08,WEAPONS OFFENSES,55
2021,April,09,AGGRAVATED ASSAULT,107
2021,April,09,ARSON,8
2021,April,09,ASSAULT,143
2021,April,09,BURGLARY,27
2021,April,09,DAMAGE TO PROPERTY,114
2021,April,09,DANGEROUS DRUGS,16
2021,April,09,FAMILY OFFENSE,4
2021,April,09,FRAUD,46
2021,April,09,HOMICIDE,2
2021,April,09,KIDNAPPING,1
2021,April,09,LARCENY,69
2021,April,09,MISCELLANEOUS,1
2021,April,09,OBSTRUCTING JUDICIARY,9
2021,April,09,OBSTRUCTING THE POLICE,9
2021,April,09,OTHER,1
2021,April,09,OUIL,2
2021,April,09,ROBBERY,6
2021,April,09,SEX OFFENSES,8
2021,April,09,SEXUAL ASSAULT,7
2021,April,09,STOLEN PROPERTY,29
2021,April,09,STOLEN VEHICLE,44
2021,April,09,WEAPONS OFFENSES,141
2021,April,10,AGGRAVATED ASSAULT,69
2021,April,10,ARSON,5
2021,April,10,ASSAULT,109
2021,April,10,BURGLARY,23
2021,April,10,DAMAGE TO PROPERTY,77
2021,April,10,DANGEROUS DRUGS,9
2021,April,10,DISORDERLY CONDUCT,2
2021,April,10,FAMILY OFFENSE,2
2021,April,10,FRAUD,17
2021,April,10,HOMICIDE,5
2021,April,10,KIDNAPPING,1
2021,April,10,LARCENY,55
2021,April,10,OBSTRUCTING JUDICIARY,12
2021,April,10,OBSTRUCTING THE POLICE,10
2021,April,10,OUIL,2
2021,April,10,ROBBERY,12
2021,April,10,RUNAWAY,1
2021,April,10,SEX OFFENSES,6
2021,April,10,SEXUAL ASSAULT,6
2021,April,10,STOLEN PROPERTY,8
2021,April,10,STOLEN VEHICLE,43
2021,April,10,WEAPONS OFFENSES,43
2021,April,11,AGGRAVATED ASSAULT,69
2021,April,11,ARSON,1
2021,April,11,ASSAULT,102
2021,April,11,BURGLARY,20
2021,April,11,DAMAGE TO PROPERTY,72
2021,April,11,DANGEROUS DRUGS,7
2021,April,11,DISORDERLY CONDUCT,2
2021,April,11,EXTORTION,2
2021,April,11,FORGERY,1
2021,April,11,FRAUD,30
2021,April,11,HOMICIDE,5
2021,April,11,JUSTIFIABLE HOMICIDE,1
2021,April,11,KIDNAPPING,2
2021,April,11,LARCENY,38
2021,April,11,MISCELLANEOUS,1
2021,April,11,OBSTRUCTING JUDICIARY,8
2021,April,11,OBSTRUCTING THE POLICE,5
2021,April,11,OTHER,2
2021,April,11,OUIL,4
2021,April,11,ROBBERY,6
2021,April,11,RUNAWAY,1
2021,April,11,SEX OFFENSES,3
2021,April,11,SEXUAL ASSAULT,3
2021,April,11,STOLEN PROPERTY,14
2021,April,11,STOLEN VEHICLE,25
2021,April,11,WEAPONS OFFENSES,46
2021,April,12,AGGRAVATED ASSAULT,70
2021,April,12,ARSON,3
2021,April,12,ASSAULT,97
2021,April,12,BURGLARY,36
