precinct,Post,Pre,pct_change
02,270,478,-43.51464435146444
03,382,408,-6.372549019607843
04,326,235,38.72340425531915
05,357,388,-7.989690721649484
06,491,530,-7.3584905660377355
07,231,276,-16.304347826086957
08,698,766,-8.87728459530026
09,902,745,21.073825503355707
10,296,335,-11.641791044776118
11,352,411,-14.355231143552311
12,346,361,-4.1551246537396125
