year,year_month,precinct,offense_category,counts,crime_bucket
2017,2017-08,04,WEAPONS OFFENSES,3,Weapons
2017,2017-08,05,WEAPONS OFFENSES,21,Weapons
2017,2017-08,06,WEAPONS OFFENSES,24,Weapons
2017,2017-08,07,WEAPONS OFFENSES,12,Weapons
2017,2017-08,08,WEAPONS OFFENSES,36,Weapons
2017,2017-08,09,WEAPONS OFFENSES,29,Weapons
2017,2017-08,10,WEAPONS OFFENSES,11,Weapons
2017,2017-08,11,WEAPONS OFFENSES,24,Weapons
2017,2017-08,12,WEAPONS OFFENSES,24,Weapons
2017,2017-09,02,WEAPONS OFFENSES,22,Weapons
2017,2017-09,03,WEAPONS OFFENSES,13,Weapons
2017,2017-09,04,WEAPONS OFFENSES,10,Weapons
2017,2017-09,05,WEAPONS OFFENSES,14,Weapons
2017,2017-09,06,WEAPONS OFFENSES,14,Weapons
2017,2017-09,07,WEAPONS OFFENSES,4,Weapons
2017,2017-09,08,WEAPONS OFFENSES,34,Weapons
2017,2017-09,09,WEAPONS OFFENSES,26,Weapons
2017,2017-09,10,WEAPONS OFFENSES,13,Weapons
2017,2017-09,11,WEAPONS OFFENSES,20,Weapons
2017,2017-09,12,WEAPONS OFFENSES,9,Weapons
2017,2017-10,02,WEAPONS OFFENSES,14,Weapons
2017,2017-10,03,WEAPONS OFFENSES,17,Weapons
2017,2017-10,04,WEAPONS OFFENSES,6,Weapons
2017,2017-10,05,WEAPONS OFFENSES,7,Weapons
2017,2017-10,06,WEAPONS OFFENSES,17,Weapons
2017,2017-10,07,WEAPONS OFFENSES,6,Weapons
2017,2017-10,08,WEAPONS OFFENSES,24,Weapons
2017,2017-10,09,WEAPONS OFFENSES,23,Weapons
2017,2017-10,10,WEAPONS OFFENSES,17,Weapons
2017,2017-10,11,WEAPONS OFFENSES,13,Weapons
2017,2017-10,12,WEAPONS OFFENSES,11,Weapons
2017,2017-11,02,WEAPONS OFFENSES,14,Weapons
